player_id,Name,Sex,Age
1206,Ioan Valeriu Achiriloaie,M,23
1207,Ioan Valeriu Achiriloaie,M,23
1208,Rita Nikolayevna Achkina,F,25
1209,Rita Nikolayevna Achkina,F,30
1210,Rita Nikolayevna Achkina,F,30
1242,Ronny Ackermann,M,20
1243,Ronny Ackermann,M,20
1244,Ronny Ackermann,M,24
1245,Ronny Ackermann,M,24
1246,Ronny Ackermann,M,24
1247,Ronny Ackermann,M,28
1248,Ronny Ackermann,M,28
1249,Ronny Ackermann,M,28
1253,Donat Acklin,M,22
1254,Donat Acklin,M,26
1255,Donat Acklin,M,26
1256,Donat Acklin,M,28
1257,Donat Acklin,M,28
1258,Guido Acklin,M,24
1259,Guido Acklin,M,28
1260,Guido Acklin,M,32
1307,"Benjamin Maxwell ""Ben"" Acton",M,32
1308,Brigitte Acton (-Smith),F,20
1309,Brigitte Acton (-Smith),F,20
1310,Brigitte Acton (-Smith),F,20
1311,Brigitte Acton (-Smith),F,24
1326,Goro Adachi,M,19
1327,Goro Adachi,M,23
1334,Yurie Adachi,F,28
1363,Marcus Adam,M,33
1366,"Michael B. ""Mike"" Adam",M,24
1401,Jina Adamikov-Pelcov,F,22
1402,Jina Adamikov-Pelcov,F,22
1403,Jina Adamikov-Pelcov,F,22
1404,Jina Adamikov-Pelcov,F,24
1405,Jina Adamikov-Pelcov,F,24
1406,Jina Adamikov-Pelcov,F,24
1407,Jina Adamikov-Pelcov,F,28
1408,Jina Adamikov-Pelcov,F,28
1409,Jina Adamikov-Pelcov,F,28
1412,Janusz Andrzej Adamiec,M,21
1413,Janusz Andrzej Adamiec,M,25
1414,Janusz Andrzej Adamiec,M,29
1439,Tadeusz Ralf Adamowski,M,26
1454,Bridget Shirley Adams (-Bengough),F,19
1519,"Victoria ""Vicki"" Adams",F,24
1601,Peter Adeberg,M,19
1602,Peter Adeberg,M,19
1603,Peter Adeberg,M,19
1604,Peter Adeberg,M,23
1605,Peter Adeberg,M,23
1606,Peter Adeberg,M,23
1607,Peter Adeberg,M,25
1608,Peter Adeberg,M,25
1609,Peter Adeberg,M,25
1610,Peter Adeberg,M,29
1611,Peter Adeberg,M,29
1612,Peter Adeberg,M,29
1613,Ulrike Adeberg (-Spielmann),F,23
1631,Gun Margareta del (-Nilsson),F,25
1632,Gun Margareta del (-Nilsson),F,25
1641,Antoine Adelisse,M,17
1689,Cary Glen Adgate,M,22
1690,Cary Glen Adgate,M,22
1691,Cary Glen Adgate,M,26
1720,"Richard ""Richy""  Adjei",M,27
1721,"Richard ""Richy""  Adjei",M,27
1791,Josef Adolf,M,25
1792,Ruth Adolf,F,20
1793,Ruth Adolf,F,20
1795,Jan Erik Adolfsen,M,21
1799,ke Ronnie Adolfsson,M,23
1800,ke Ronnie Adolfsson,M,23
1801,ke Ronnie Adolfsson,M,23
1802,ke Ronnie Adolfsson,M,27
1803,ke Ronnie Adolfsson,M,27
1804,ke Ronnie Adolfsson,M,27
1805,Sune Roland Adolfsson,M,25
1806,Sune Roland Adolfsson,M,25
1873,Carlos Adsera Puig,M,21
1885,Viktoriya Adyeva,F,20
1892,Urs Aeberhard,M,30
1896,David Aebischer,M,24
1897,David Aebischer,M,28
1898,Christian Aebli,M,27
1911,Luca Aerni,M,20
1915,Katrien Aerts,F,37
1926,Jean-Jacques Aeschlimann,M,34
1927,Peter Aeschlimann,M,25
1951,Xavier Affentranger,M,26
1952,Xavier Affentranger,M,26
1953,Xavier Affentranger,M,26
1957,Alessia Afi Dipol,F,18
1958,Alessia Afi Dipol,F,18
1962,Maksim Sergeyevich Afinogenov,M,22
1963,Maksim Sergeyevich Afinogenov,M,26
1964,Maksim Sergeyevich Afinogenov,M,30
1999,Karim El-Husseini Aga Khan,M,27
2000,Karim El-Husseini Aga Khan,M,27
2001,Karim El-Husseini Aga Khan,M,27
2013,Alisa Agafonova,F,23
2020,Marina Aganina,F,20
2027,Mark Sidney Andrew Agar,M,27
2028,Mark Sidney Andrew Agar,M,27
2039,Giancarlo Agazzi,M,23
2040,Giancarlo Agazzi,M,31
2053,Iwao Ageishi,M,24
2071,Sven Ingvar Agge,M,34
2102,Benjamin Agnel,M,20
2103,Marysette Agnel,F,25
2104,Marysette Agnel,F,25
2105,Marysette Agnel,F,25
2106,Marysette Agnel,F,29
2107,Marysette Agnel,F,29
2108,Marysette Agnel,F,29
2126,Meghan Christina Agosta (-Marciano),F,18
2127,Meghan Christina Agosta (-Marciano),F,23
2128,Meghan Christina Agosta (-Marciano),F,26
2138,"Benjamin Alexandro ""Ben"" Agosto",M,24
2139,"Benjamin Alexandro ""Ben"" Agosto",M,28
2149,Hernn Marcelo Agote,M,26
2150,Hernn Marcelo Agote,M,26
2157,Debora Agreiter,F,22
2158,Debora Agreiter,F,22
2285,Errol Aguilera,M,23
2302,Facundo Aguirre,M,20
2320,Mason Singer Aguirre,M,18
2363,Kevin Joseph Ahearn,M,23
2370,"Patrick Lee ""Pat"" Ahern",M,23
2390,Mats Bertil hlberg,M,24
2391,Mats Bertil hlberg,M,32
2395,Annica Gunilla hln,F,23
2396,Annica Gunilla hln,F,27
2397,Johan Petter hln (Andersson-),M,44
2398,Thomas Valter hln,M,24
2431,Kerstin Lucia Ahlqvist (-Winnberg),F,24
2432,Kerstin Lucia Ahlqvist (-Winnberg),F,24
2520,Ahn Jin-Soo,M,18
2521,Ahn Jin-Soo,M,18
2522,Ahn Jin-Soo,M,18
2523,Ahn Jin-Soo,M,18
2524,Ahn Jin-Soo,M,20
2525,Ahn Jin-Soo,M,20
2526,Ahn Jin-Soo,M,20
2527,Ahn Jin-Soo,M,24
2528,Ahn Jin-Soo,M,24
2529,Ahn Jin-Soo,M,24
2530,Ahn Jin-Soo,M,24
2531,Manfred Ahne,M,22
2543,Seppo Johannes Ahokainen,M,24
2549,Janne Petteri Ahonen,M,16
2550,Janne Petteri Ahonen,M,16
2551,Janne Petteri Ahonen,M,16
2552,Janne Petteri Ahonen,M,20
2553,Janne Petteri Ahonen,M,20
2554,Janne Petteri Ahonen,M,20
2555,Janne Petteri Ahonen,M,24
2556,Janne Petteri Ahonen,M,24
2557,Janne Petteri Ahonen,M,24
